country,title,sku,reg_pr,act_pr,brand,sticker,cat_1,cat_2,cat_3,url
DE,Windjacke Speed Hiking FH500 Helium ultraleicht Damen gelb,8670543,"24,99€",,QUECHUA,NEU,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/windjacke-speed-hiking-fh500-helium-damen/_/R-p-308084?mc=8670543&c=GELB
DE,Regenjacke Wandern Raincut mit Reißverschluss Damen violett,8383702,"14,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/regenjacke-wandern-raincut-mit-reißverschluss-damen/_/R-p-134585?mc=8383702&c=WEIß
DE,Handschuhe Bergtrekking Trek 500 Stretch Erwachsene lila ,8396271,"11,99€","8,99€",FORCLAZ,0,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/handschuhe-bergtrekking-trek-500-stretch-erwachsene/_/R-p-158532?mc=8396271&c=ROT
DE,Langarmshirt Pullover Wandern SH100 warm Damen schwarz,8370112,"9,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/langarmshirt-pullover-wandern-sh100-warm-damen/_/R-p-11941?mc=8370112&c=SCHWARZ
DE,Mütze Trekking MT500 Merino schwarz ,8546154,"11,99€",,FORCLAZ,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/mutze-trekking-mt500-merino/_/R-p-302969?mc=8546154&c=SCHWARZ
DE,Fleecepullover Bergwandern MH100 Damen rosa,8648300,"9,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/fleecepullover-bergwandern-mh100-damen/_/R-p-312282?mc=8648300&c=VIOLETT
DE,Merino Shirt MT500 langarm Damen ungefärbt ,8607384,"44,99€",,FORCLAZ,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/merino-shirt-mt500-langarm-damen-ungefarbt/_/R-p-329446?mc=8607384&c=BRAUN_BEIGE
DE,Sonnenbrille Wandern MH580 Erwachsene Kategorie 4 schwarz/grün,8587973,"29,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh580-erwachsene-kategorie-4-schwarz-grun/_/R-p-312990?mc=8587973&c=SCHWARZ
DE,Softshellweste Trekking Trek 500 Damen dunkelblau,8550541,"34,99€",,FORCLAZ,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/softshellweste-trekking-trek-500-damen-dunkelblau/_/R-p-306968?mc=8550541&c=BLAU
DE,Wandershorts Bergwandern MH100 Damen marineblau,8619679,"9,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandershorts-bergwandern-mh100-damen/_/R-p-331027?mc=8619679&c=BLAU
